NODE_ID,NODE_TYPE,LABEL,ATTRIBUTES
AGILE_PD,System,AGILE_PD,
ITEM_MDM,System,ITEM_MDM,
EBS,System,EBS,
CPQ,System,CPQ,
BLUJAY,System,BLUJAY,
CLOUD2EBS_DROPSHIP,System,CLOUD2EBS_DROPSHIP,
Item-MDM,ValueStream,Item-MDM,
QTD,ValueStream,QTD,
PTM,ValueStream,PTM,
PTC,ValueStream,PTC,
Services,ValueStream,Services,
RCA-01,RootCause,EBS item revision stuck at 00 while PD shows A/B,Integration/Code
PFIX-01,PermanentFix,"Idempotent CO/NRCO interface with retry, alerting, and a guard that blocks Item Workbench edits on items with a pending CO interface",Integration/Code
RCA-02,RootCause,CCO created with no revised items fetched / wrong CO,Config/Code
PFIX-02,PermanentFix,Pre-validate revision ordering and CO linkage before CCO creation; surface CCB errors at submission,Config/Code
RCA-03,RootCause,CCB report error: old revision higher than new revision,Config/Process
PFIX-03,PermanentFix,Enforce a revision-sequence rule at PD change-order entry so a lower new revision is rejected before it reaches EBS,Config/Process
RCA-04,RootCause,Order lines cannot progress due to holds,Config/Integration
PFIX-04,PermanentFix,Automated hold-release workflow that releases config-exception holds when the configuration validates and PR/PO conditions clear,Config/Integration
RCA-05,RootCause,"Receiving stuck, quantity shows 0, rows in RCV_INTERFACE",Code/Process
PFIX-05,PermanentFix,Monitor RCV_INTERFACE for stuck rows and auto-reprocess; catalogue the clear-and-reprocess data fix,Code/Process
RCA-06,RootCause,EBS deliveries not transmitting to BluJay,Integration
PFIX-06,PermanentFix,"Add retry, dead-letter and monitoring on the BluJay interface; alert on failed transmissions",Integration
RCA-07,RootCause,CPQ quote cannot submit order to EBS,Config
PFIX-07,PermanentFix,"Pre-submit validation in CPQ for orderability, pricing and serviceability before the order reaches EBS",Config
RCA-08,RootCause,APPTREE_EVENT error causes daily order processing outage,Code
PFIX-08,PermanentFix,Fix the APPTREE_EVENT handler for the failing condition and add monitoring on the daily run,Code
RCA-09,RootCause,Hard pegging issue in planning (Test and Production),Config
PFIX-09,PermanentFix,Correct and standardise pegging setup; add a planning data-quality check,Config
RCA-10,RootCause,Cannot change plant/warehouse on order,Config
PFIX-10,PermanentFix,Clarify and fix the plant-change validation so valid changes are not blocked,Config
RCA-11,RootCause,Sales order headers need reopening for audit changes,Process
PFIX-11,PermanentFix,"Provide a controlled, audited reopen process to remove repeated manual requests",Process
RCA-12,RootCause,DropShip order data corruption after cancellation,Code
