BUSINESS_IMPACT_THEME,INCIDENT_NUMBER,SHORT_DESCRIPTION,ASSIGNMENT_GROUP,OPENED_AT,CLOSED_AT,CLOSE_CODE,CLOSE_NOTES,VALUE_STREAM,PRIMARY_SYSTEM,PATTERN_ID,ROOT_CAUSE_ID,RESOLUTION_TYPE,LINKED_INCIDENT,RECURRING_FLAG,DATA_ORIGIN,EBS_MODULE,OPENED_BY,ASSIGNED_TO,PRIORITY,IMPACT,URGENCY,STATE,SLA_DUE,INVOICE_AMOUNT,CURRENCY,COUNTERPARTY,COUNTERPARTY_TYPE,COUNTERPARTY_TIER,FINANCIAL_BAND,BUSINESS_FLAGS
Item MDM integration issue,INC0903771,"Hello, kindly provide the root cause and workaround for CO-1106016. Wanted to know if this is a timestamp issue that needs a repush. Recreated ticket INC0877704",Oracle-Alice-Item-MDM,2025-03-04 09:00:00,2025-03-16 09:00:00,Change related,"Closing after multiple reminders  Closing notes:  Fix deployed in production.  Please check and confirm on ticket closure.  Regards, Meet Meghani",Item-MDM,ITEM_MDM,PAT-REV-SYNC,RCA-01,Change/Code,INC0877704,Y,REAL,INV,James Whitfield,Greta Hoffmann,P2,Medium,High,On Hold,2025-03-04 17:00:00,,,,,,,Recurring issue
Revision sync issue,INC0903826,Item revision for part 10077424 did not push in EBS. Current Revision in PD is A while Revision pushed is 00-00The CCO was generated VIA Item WorkbenchPle,Oracle-Alice-Item-MDM,2025-03-04 09:00:00,2025-03-15 09:00:00,User/Training Issue,"Closing after multiple reminders  Closing notes: Hi,  Root-cause: The item 10077424 was pushed to rev A via NRCO-1016733 but the NRCO was not interfaced due to Integration issues. Later the NRCO was completed so the revision changed to A for the item in PD however it was still 00 in EBS.  Later this item was used in ItemWB which doesn't change revision of the item so it remained 00 in EBS.  Workar",Item-MDM,ITEM_MDM,PAT-REV-SYNC,RCA-01,Integration,INC0877704,Y,REAL,INV,Melanie Cruz,Meet Meghani,P2,Medium,High,New,2025-03-04 17:00:00,,,,,,,Recurring issue
Order progression / holds,INC0934551,"Lines 17.1- 17.7 cannot be progressed, this is a buy-out and plant cannot generate PRs/PO for it and some of it are already shipping by the end of this month. I",OMCS-ERP-Alice-QTD,2025-05-14 09:00:00,2025-05-31 09:00:00,Known issue - no workaround,Issue :Lines 17.1- 17.7 cannot be progressed' Cause :Holds applied on the lines. Resolution: Able to progress the lines after removing the holds.,QTD,EBS,PAT-HOLD,RCA-04,Manual hold release,,N,REAL,ONT,Melanie Cruz,Wei Zhang,P3,Medium,Medium,In Progress,2025-05-15 09:00:00,,,,,,,
Autocreate config hold,INC0928344,EBS 1335698  line 1.1..0 has Autocreate Config Exception holds. Pls review and release.,Oracle-EBS-Alice-OSA-QTD,2025-04-30 09:00:00,2025-06-02 09:00:00,Known issue - no workaround,Issue Resolved.,QTD,EBS,PAT-HOLD,RCA-04,Manual hold release,,N,REAL,ONT,Racquel Tan,Wei Zhang,P3,Medium,Medium,In Progress,2025-05-01 09:00:00,,,,,,,
Planning system issue,INC0933232,Please fix the TJ Hard pegging issue in Test and Production instance,Oracle-EBS-Alice-PTM,2025-05-12 09:00:00,2025-06-02 09:00:00,,No user response after 3 attempts. Incident auto resolved.,PTM,EBS,PAT-PEG,RCA-09,No user response,,N,REAL,INV,Sara Lindqvist,Anil Kapoor,P4,Low,Low,New,2025-05-15 09:00:00,,,,,,,
Warehouse/plant sync issue,INC0932356,"Hi, please assist to change the plant from 004 to plant 015. Unable to change it due to error. Please see attached image for your reference. Order #: 130912",OMCS-ERP-Alice-QTD,2025-05-09 09:00:00,2025-06-05 09:00:00,Configuration,"Hi Racquel,  As we discussed, This issue has been resolved hence we are closing this ticket.  Please let us know if you have any concerns.  Solution : Workaround was provided and issue has been resolved.  Best Regards, Vikram Raju",QTD,EBS,PAT-PLANT,RCA-10,Config workaround,,N,REAL,ONT,Tomas Novak,Vikram Raju,P4,Low,Low,In Progress,2025-05-12 09:00:00,,,,,,,
CPQ/EBS submission failure,INC0979873,CPQ-944610_Unable to submit the order due to error,Oracle-EBS-Alice-QTD,2025-08-29 09:00:00,2025-09-06 09:00:00,Configuration,"Hello Melanie,   Quote CPQ-944610 has been submitted, and Order 1374888 has been created. Closing the incident as per user confirmation",QTD,EBS,PAT-CPQ,RCA-07,Config fix,,N,REAL,ONT,Amanpreet Kaur,Wei Zhang,P3,Medium,Medium,In Progress,2025-08-30 09:00:00,,,,,,,
CCO creation inconsistency,INC0978839,"Referring to ticket INC0925593 submitted last April:I raised a ticket regarding the CCO creation issue where the CO was set back to Pending, but the CCO was",Oracle-Alice-Item-MDM,2025-08-27 09:00:00,2025-09-06 09:00:00,Closed/Resolved by Caller,Closed by Caller,Item-MDM,ITEM_MDM,PAT-CCO,RCA-02,Caller resolved,INC0925593,Y,REAL,INV,Liam Donovan,Meet Meghani,P2,Medium,High,New,2025-08-27 17:00:00,,,,,,,Recurring issue
Daily order processing outage,INC1008688,APPTREE_EVENT error in Oracle EBS,Oracle-EBS-Alice-OSA-PTM,2025-11-14 09:00:00,2025-11-23 09:00:00,Configuration,User validated and confirmed this issue is resolved.Hence closing the ticket.,PTM,EBS,PAT-APPTREE,RCA-08,Config fix,,N,REAL,INV,Mark Olsen,Wei Zhang,P3,Medium,Medium,In Progress,2025-11-15 09:00:00,,,,,,,
Integration failure,INC0985051,"Information is not being transmitted from Oracle EBS to BluJay; examples of deliveries are 2764357, 2764356, 3764355 & 2764351",Oracle-EBS-Alice-OSA-PTM,2025-09-15 09:00:00,2025-09-18 09:00:00,Configuration,Now the issue is resolved. User validated and confirm. Hence closing the ticket.,PTM,EBS,PAT-BLUJAY,RCA-06,Config fix,,N,REAL,INV,Diego Alvarez,Wei Zhang,P3,Medium,Medium,In Progress,2025-09-16 09:00:00,,,,,,,
