RCA_ID,VALUE_STREAM,SYMPTOM,IMMEDIATE_RESOLUTION,ROOT_CAUSE,SOURCE_SYSTEM,SOURCE_OBJECT,PERMANENT_FIX,FIX_CATEGORY,EFFORT,RELATED_INCIDENTS
RCA-01,Item-MDM,EBS item revision stuck at 00 while PD shows A/B,Repush change order or apply revision data fix,Change order (NRCO/CO) not interfaced due to integration failure; Item Workbench used afterwards does not update revision,ITEM_MDM + AGILE_PD,MTL_ITEM_REVISIONS_B / CO interface,"Idempotent CO/NRCO interface with retry, alerting, and a guard that blocks Item Workbench edits on items with a pending CO interface",Integration/Code,High,INC0903826;INC0903771;INC0877704
RCA-02,Item-MDM,CCO created with no revised items fetched / wrong CO,"Identify correct CO, recreate CCO with valid revision",Revision sequencing not validated before CCO creation; latest ECO revision conflicts,AGILE_PD + ITEM_MDM,CCO creation API / CCB report,Pre-validate revision ordering and CO linkage before CCO creation; surface CCB errors at submission,Config/Code,Medium,INC0978839;INC0899839;INC0890340;INC0925593
RCA-03,Item-MDM,CCB report error: old revision higher than new revision,"Reject CO, move to pending, use a greater revision, re-push",No revision-sequence validation at change-order entry in PD,AGILE_PD,Change order entry / revision rule,Enforce a revision-sequence rule at PD change-order entry so a lower new revision is rejected before it reaches EBS,Config/Process,Low,INC0899046;INC0899788
RCA-04,QTD,Order lines cannot progress due to holds,Manually remove/release holds on the lines,Autocreate Config Exception and buy-out holds applied automatically with no auto-release rule once the condition clears,EBS ONT,OE_ORDER_HOLDS_ALL,Automated hold-release workflow that releases config-exception holds when the configuration validates and PR/PO conditions clear,Config/Integration,Medium,INC0934551;INC0928344
RCA-05,PTM,"Receiving stuck, quantity shows 0, rows in RCV_INTERFACE","Data fix to clear RCV_INTERFACE rows (e.g. SBM-090351), reprocess",Receiving Transaction Manager does not reprocess errored rows; no monitoring of RCV_INTERFACE,EBS INV/PO,RCV_INTERFACE / RCV_TRANSACTIONS_INTERFACE,Monitor RCV_INTERFACE for stuck rows and auto-reprocess; catalogue the clear-and-reprocess data fix,Code/Process,Medium,INC0998890;INC0985197
RCA-06,PTM,EBS deliveries not transmitting to BluJay,Reprocess/replay the transmission,EBS-to-BluJay interface has no retry or monitoring; mapping/endpoint failures go silent,EBS + BLUJAY,EBS-BluJay shipping interface,"Add retry, dead-letter and monitoring on the BluJay interface; alert on failed transmissions",Integration,Medium,INC0985051
RCA-07,QTD,CPQ quote cannot submit order to EBS,"Apply configuration fix, resubmit quote",Item orderability / serviceability / pricing setup gaps for new products in the selling org,CPQ + EBS,Order import / item setup,"Pre-submit validation in CPQ for orderability, pricing and serviceability before the order reaches EBS",Config,Low,INC0979873
RCA-08,PTM,APPTREE_EVENT error causes daily order processing outage,Configuration fix to the event/concurrent process,Custom APPTREE_EVENT handler fails under specific data conditions with no guard or alert,EBS (custom),APPTREE_EVENT custom code,Fix the APPTREE_EVENT handler for the failing condition and add monitoring on the daily run,Code,Medium,INC1008688
RCA-09,PTM,Hard pegging issue in planning (Test and Production),Correct pegging setup/data,Hard pegging configuration/data inconsistency in ASCP/MRP,EBS ASCP/MRP,Pegging setup,Correct and standardise pegging setup; add a planning data-quality check,Config,Medium,INC0933232
RCA-10,QTD,Cannot change plant/warehouse on order,Provide config workaround to change the plant,Org/plant change validation blocks the change under certain order states,EBS ONT/INV,Ship-from org change validation,Clarify and fix the plant-change validation so valid changes are not blocked,Config,Low,INC0932356
